Model, Price
Smartphone LG K12 Prime LMX525BAW 64GB Android Câmera Tripla,R$ 1.274
Smartphone Samsung Galaxy A51 SM-A515F 128GB Android,R$ 1.619
Smartphone Samsung Galaxy S20 SM-G980F 128GB Android,R$ 1.659
Smartphone Xiaomi Redmi Note 8 4GB RAM 64GB Android,R$ 674
Smartphone Samsung Galaxy A51 SM-A515F 128GB Android,R$ 872
Smartphone Samsung Galaxy M31 SM-M315F 128GB Android,R$ 1.899
Smartphone Samsung Galaxy A01 SM-A015M 32GB Android,R$ 4.298
Smartphone Samsung Galaxy A10s SM-A107M 32GB Android,R$ 1.169
Smartphone Samsung Galaxy A71 SM-A715 128GB Android,R$ 1.438
Smartphone Apple iPhone 11 64GB iOS Câmera Dupla,R$ 1.078
Smartphone Motorola Moto G G8 Power XT2041-1 64GB Android,R$ 1.689
Smartphone Samsung Galaxy A31 SM-A315G 128GB Android,R$ 969
Smartphone Motorola Moto G G8 Power Lite XT2055-2 64GB Android,R$ 2.699
Smartphone Xiaomi Redmi Note 9S 6GB RAM 128GB Android,R$ 998
Smartphone Samsung Galaxy A20s SM-A207M 32GB Android,R$ 1.453
Smartphone Samsung Galaxy S10 Plus SM-G975FZ 128GB Android,R$ 1.449
Smartphone Motorola Moto G G8 Play XT2015-2 32GB Android,R$ 2.499
Smartphone Xiaomi Redmi Note 8 128GB Android Câmera Quádrupla,R$ 4.649
Smartphone Samsung Galaxy A30s SM-A307G 64GB Android,R$ 1.389
Smartphone Samsung Galaxy S10 SM-G973F 128GB Android,R$ 3.448
Smartphone Apple iPhone 11 128GB iOS Câmera Dupla,R$ 2.499
Smartphone Xiaomi Redmi Note 9 64GB Android Câmera Quádrupla,R$ 3.879
Smartphone Apple iPhone XR 64GB iOS 12.0 MP,R$ 1.566
Smartphone Samsung Galaxy S10e SM-G970F 128GB Android,R$ 3.134
Smartphone Apple iPhone XR 128GB iOS 12.0 MP,R$ 993
Smartphone Motorola One Hyper XT2027-1 128GB Android Câmera Dupla,R$ 1.525
Smartphone Samsung Galaxy S20 Plus SM-G985F 128GB Android,R$ 1.022
Smartphone LG K40S LMX430BMW 32GB Android Câmera Dupla,R$ 2.399
Smartphone Xiaomi Redmi Note 9 4GB RAM 128GB Android,R$ 1.224
Smartphone LG K12 Prime LMX525BAW 64GB Android Câmera Tripla,R$ 2.299
Smartphone Samsung Galaxy Note 10 Lite SM-N770F 128GB Android,R$ 1.119
Smartphone Motorola Moto G G8 XT2045-1 64GB Android,R$ 1.099
Smartphone Apple iPhone 7 32GB iOS,R$ 2.099
Smartphone Samsung Galaxy A10 SM-A105M 32GB Android,R$ 1.079
Smartphone Samsung Galaxy J4 Core SM-J410G 16GB Android,R$ 1.530
Smartphone Motorola One Zoom XT2010-1 128GB Android Câmera Quádrupla,R$ 3.098
